annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2018;213;365;19_001;solnu;;1115.36;0.85;10.79;6.12;0.0;119.44;0.0;1251.7;0.03
2018;213;365;119_001;solnu;;1081.67;0.76;12.5;6.03;0.0;117.94;0.0;1218.14;0.03
2018;213;365;219_001;solnu;;1198.3;0.81;16.79;6.78;0.0;111.14;0.0;1333.0;0.03
2018;213;365;319_001;solnu;;1081.67;0.76;12.5;6.03;0.0;117.94;0.0;1218.14;0.03
2018;213;365;419_001;solnu;;1167.6;0.74;14.24;6.79;0.0;118.91;0.0;1307.54;0.02
2018;213;365;519_001;solnu;;1167.6;0.74;14.24;6.79;0.0;118.91;0.0;1307.54;0.02
2018;213;365;619_001;solnu;;1081.67;0.76;12.5;6.03;0.0;117.94;0.0;1218.14;0.03
2018;213;365;719_001;solnu;;1073.58;0.77;12.1;5.97;0.0;118.47;0.0;1210.12;0.03
