idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;01/01/2024;0.0;16.95;39.12;4.657049142610562;18.11
1;02/01/2024;0.0;20.55;32.95;4.316580468410564;13.42
1;03/01/2024;0.0;18.47;40.41;5.131593583622991;19.64
1;04/01/2024;0.0;20.46;44.25;6.443645497754935;20.27
1;05/01/2024;0.0;29.54;43.45;7.706801129550794;18.42
1;06/01/2024;0.0;20.14;36.43;5.028931104396242;20.5
1;07/01/2024;0.0;25.93;34.42;4.5036864478322665;20.53
1;08/01/2024;0.0;23.6;35.67;4.87946445010012;11.2173588
1;09/01/2024;52.726;22.33;37.17;2.571740418012496;19.57
1;10/01/2024;0.0;25.29;37.25;4.512967404988108;13.2554916
1;11/01/2024;0.0;21.33;39.67;3.83960166940662;20.72
1;12/01/2024;0.0;16.58;35.62;5.570859531575597;17.24
1;13/01/2024;0.0;18.23;39.09;4.491547608891381;17.84
1;14/01/2024;0.0;15.64;39.5;6.235193829140169;20.2
1;15/01/2024;0.0;15.14;39.41;5.667760217113479;21.44
1;16/01/2024;0.0;17.57;37.42;4.123477539333056;20.23
1;17/01/2024;0.0;15.38;40.29;4.439944635791083;19.04
1;18/01/2024;0.0;15.43;40.53;4.004054385170143;19.58
1;19/01/2024;0.0;19.01;32.09;3.2580356594898934;19.96
1;20/01/2024;0.0;15.58;33.89;2.939528377529701;19.51
1;21/01/2024;0.0;18.5;32.95;2.559978832092326;14.62
1;22/01/2024;0.0;18.22;38.75;5.11502022627156;17.08
1;23/01/2024;0.0;21.1;33.88;7.476673953302489;15.47
1;24/01/2024;0.0;19.29;33.97;6.438222587945119;18.84
1;25/01/2024;0.0;15.24;37.7;5.438271171027388;18.55
1;26/01/2024;0.0;17.26;38.35;6.180416328519309;20.1
1;27/01/2024;0.0;17.74;37.1;6.811398934369476;20.99
1;28/01/2024;0.0;17.26;37.79;6.485397584704912;20.91
1;29/01/2024;0.0;16.46;36.36;6.625652369189947;20.11
1;30/01/2024;0.0;15.81;36.91;6.141452523170062;20.85
1;31/01/2024;0.0;16.14;38.27;6.153706514640801;21.93
1;01/02/2024;0.0;16.06;37.48;4.744343415426956;11.03
1;02/02/2024;0.0;19.73;38.25;7.016279863099316;21.21
1;03/02/2024;0.0;18.94;39.8;5.494064831465183;21.8
1;04/02/2024;0.0;21.1;44.58;7.203921384338536;21.53
1;05/02/2024;0.0;25.55;44.92;8.675382395677442;22.39
1;06/02/2024;0.0;20.47;37.64;5.084080796701791;22.18
1;07/02/2024;0.0;25.64;36.43;5.02167598392405;11.03211
1;08/02/2024;0.0;24.48;35.33;5.0320802608325135;11.436615000000002
1;09/02/2024;0.101;23.71;34.8;3.96523551374316;12.5186706
1;10/02/2024;0.0;24.81;36.12;3.7108479286035863;10.6667082
1;11/02/2024;0.0;20.48;39.72;4.64029223121279;23.86
1;12/02/2024;0.0;17.22;35.07;4.460656716198828;23.71
1;13/02/2024;0.0;18.27;43.36;4.215528060748748;21.35
1;14/02/2024;0.0;19.82;41.31;5.276399981084535;22.64
1;15/02/2024;0.0;21.88;41.53;6.0998016544745415;19.88
1;16/02/2024;0.0;20.54;43.63;6.239008246367854;22.14
1;17/02/2024;0.0;21.79;40.6;5.860985436987719;19.96
1;18/02/2024;0.0;17.32;41.82;6.27606013877974;22.54
1;19/02/2024;0.0;17.57;40.72;7.495621233734905;19.79
1;20/02/2024;0.0;24.35;37.24;11.211455870613156;19.76
1;21/02/2024;0.0;22.04;36.59;8.468794332812003;20.58
1;22/02/2024;0.0;20.27;36.48;12.645014414708983;22.6
1;23/02/2024;0.0;22.11;35.08;7.725818043838821;19.29
1;24/02/2024;0.0;18.52;37.55;7.687786458300104;23.14
1;25/02/2024;0.0;17.22;40.7;5.600766212423767;23.98
1;26/02/2024;0.0;17.46;40.61;5.456060118848666;22.61
1;27/02/2024;0.0;18.89;39.82;4.979487862235967;21.86
1;28/02/2024;0.0;18.11;40.24;4.437563794861908;22.87
1;29/02/2024;0.0;20.15;39.07;6.148616169917711;22.77
1;01/03/2024;0.0;18.19;39.44;4.756799275928393;23.47
1;02/03/2024;0.0;19.07;38.06;7.1007248407098125;21.57
1;03/03/2024;0.0;18.91;39.17;6.051256585126231;22.63
1;04/03/2024;0.0;23.16;39.37;8.837383035061368;23.66
1;05/03/2024;0.0;23.43;44.31;8.198882954935556;22.95
1;06/03/2024;0.0;20.72;40.29;4.970091522218407;23.06
1;07/03/2024;0.707;26.05;33.25;4.043283789114287;24.25
1;08/03/2024;0.0;24.47;35.08;4.049384274162944;24.04
1;09/03/2024;0.0;26.02;33.72;3.662293992103848;10.490544
1;10/03/2024;0.0;24.32;37.11;4.407276443210256;13.070034
1;11/03/2024;0.0;17.95;39.38;5.223077646297462;24.28
1;12/03/2024;0.0;19.41;30.56;3.443524468794288;24.78
1;13/03/2024;0.0;19.74;41.22;6.966094785398247;24.36
1;14/03/2024;0.0;17.18;43.32;5.646653471278095;25.31
1;15/03/2024;0.0;19.11;44.79;6.650983994525359;25.06
1;16/03/2024;0.0;20.31;43.91;7.408973267075409;25.27
1;17/03/2024;0.0;21.05;44.85;7.616808513859055;25.7
1;18/03/2024;0.0;19.01;44.98;6.456217900382613;25.81
1;19/03/2024;0.0;20.86;43.48;5.350147966879603;22.65
1;20/03/2024;0.0;18.39;41.92;4.779548887068633;22.41
1;21/03/2024;0.0;17.26;41.12;4.19624816227031;23.39
1;22/03/2024;0.0;18.58;38.68;5.070194050822565;24.53
1;23/03/2024;0.0;18.07;33.51;5.166846642668201;23.31
1;24/03/2024;0.0;17.63;36.78;5.033375808589414;21.16
1;25/03/2024;0.0;19.58;37.15;6.218444749723258;22.93
1;26/03/2024;0.0;19.74;38.16;6.316002500686631;20.8
1;27/03/2024;0.0;20.56;40.38;7.01030548841543;24.15
1;28/03/2024;0.0;20.78;40.97;6.843563754246456;24.8
1;29/03/2024;0.0;19.63;36.29;6.210895901938502;24.34
1;30/03/2024;0.0;17.91;38.13;5.344915424957495;24.9
1;31/03/2024;0.0;18.21;41.0;5.824269663726652;24.13
1;01/04/2024;0.0;17.18;38.7;4.164096761381551;25.04
1;02/04/2024;0.0;15.36;40.07;6.666874889858821;25.08
1;03/04/2024;0.0;17.55;40.98;6.1341634368178095;25.04
1;04/04/2024;0.0;20.69;44.75;5.195429821746691;24.31
1;05/04/2024;0.0;25.11;44.38;8.476171828190898;24.32
1;06/04/2024;0.0;20.01;41.86;5.268458108560049;25.99
1;07/04/2024;0.0;25.5;34.92;5.173388054339724;25.78
1;08/04/2024;27.977;22.99;29.19;1.0398541006120356;26.22
1;09/04/2024;0.0;24.97;34.1;3.548126913899464;26.52
1;10/04/2024;20.838;23.13;28.43;10.146574158694186;25.6
1;11/04/2024;0.0;17.41;39.82;4.818711268958811;25.31
1;12/04/2024;0.0;21.49;29.1;3.85749572956911;23.8
1;13/04/2024;0.0;25.79;43.95;7.465684951825309;23.04
1;14/04/2024;0.0;22.28;41.82;4.972249551681712;23.41
1;15/04/2024;0.0;19.55;42.91;6.55518104450237;24.43
1;16/04/2024;0.0;24.85;42.25;14.211898163393675;25.05
1;17/04/2024;0.0;25.38;43.53;8.284248534893168;24.75
1;18/04/2024;0.0;24.49;42.75;12.730162548864769;26.18
1;19/04/2024;0.0;26.14;44.77;15.473429055406546;26.7
1;20/04/2024;0.0;22.15;44.92;6.560994557317178;24.21
1;21/04/2024;0.0;19.86;38.22;5.197732492882863;25.3
1;22/04/2024;0.0;17.72;35.59;4.126957003720226;24.61
1;23/04/2024;0.0;17.05;38.75;4.327910172485659;26.25
1;24/04/2024;0.0;19.76;41.43;4.909312518764691;26.09
1;25/04/2024;0.0;20.99;41.45;5.890424513562611;26.15
