idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;01/01/2021;0.0;20.07;39.08;6.431580772564977;20.45
1;02/01/2021;0.0;17.69;38.73;7.178101952285282;20.75
1;03/01/2021;0.0;16.26;36.57;5.890258919110363;20.97
1;04/01/2021;0.0;18.54;43.12;6.149058560182503;21.17
1;05/01/2021;0.0;19.82;38.45;6.224586653774503;20.29
1;06/01/2021;0.0;22.25;37.35;5.236286177616043;10.4198202
1;07/01/2021;0.0;22.55;34.76;4.280346563922592;21.1
1;08/01/2021;0.0;22.98;34.36;4.47290398529878;12.8174778
1;09/01/2021;0.0;22.71;34.43;4.57987372179099;13.9064598
1;10/01/2021;0.0;23.53;38.12;4.462909609529751;11.8858374
1;11/01/2021;0.0;25.03;40.2;6.862395398654558;18.49
1;12/01/2021;0.0;17.44;36.96;4.675008121995412;17.93
1;13/01/2021;0.0;16.88;34.74;6.231165218800358;21.05
1;14/01/2021;0.0;17.62;37.22;6.542474615070176;20.02
1;15/01/2021;0.0;19.24;36.1;7.128133048773252;18.37
1;16/01/2021;0.0;18.47;31.77;6.418964653943993;13.5
1;17/01/2021;0.0;19.78;31.41;6.343998667723048;13.71
1;18/01/2021;0.0;17.13;30.71;5.411166285076487;12.43
1;19/01/2021;0.0;16.48;35.22;6.451767076597433;20.36
1;20/01/2021;0.0;16.81;36.82;6.280578426331658;20.14
1;21/01/2021;0.0;17.73;39.38;6.923037651561795;19.16
1;22/01/2021;0.0;17.71;35.98;6.840605639527216;17.13
1;23/01/2021;0.0;15.09;34.3;5.561166811586422;16.75
1;24/01/2021;0.0;16.81;36.56;6.6766367591771845;22.94
1;25/01/2021;0.0;14.86;38.17;6.770455767116485;23.09
1;26/01/2021;0.0;15.24;39.55;6.911284746249777;23.47
1;27/01/2021;0.0;14.44;39.68;6.431606749435925;23.79
1;28/01/2021;0.0;15.53;38.91;6.634523166493278;23.61
1;29/01/2021;0.0;15.73;37.45;5.754079290654893;16.87
1;30/01/2021;0.0;15.36;38.83;6.071235218618826;21.32
1;31/01/2021;0.0;16.68;36.66;6.846154274788325;18.52
1;01/02/2021;0.0;18.53;37.2;5.876220624295593;19.0
1;02/02/2021;0.0;16.77;40.13;5.732771926248191;23.52
1;03/02/2021;0.0;17.99;39.73;6.735722495523592;19.05
1;04/02/2021;0.0;20.83;43.23;6.275938954505214;16.39
1;05/02/2021;0.0;19.51;36.31;5.5728540372078434;15.34
1;06/02/2021;0.0;20.46;37.48;5.226799320808939;13.71
1;07/02/2021;18.381;22.28;39.23;5.182433238220999;12.30597
1;08/02/2021;2.727;24.85;32.63;2.509510283768043;20.71
1;09/02/2021;0.0;24.48;35.5;4.208804195023471;11.8990818
1;10/02/2021;32.217;21.68;37.81;3.659403932074391;14.85
1;11/02/2021;0.0;20.49;41.42;5.000176981292023;23.78
1;12/02/2021;0.0;18.8;39.51;6.378977819987199;24.11
1;13/02/2021;0.0;16.46;39.71;6.5462264344934855;22.97
1;14/02/2021;0.0;19.07;40.82;6.622439861362161;23.78
1;15/02/2021;0.0;22.25;37.98;6.324633784839866;18.64
1;16/02/2021;0.0;19.95;38.72;5.367631673797897;19.35
1;17/02/2021;0.0;24.01;31.59;4.158972131961717;8.86
1;18/02/2021;0.0;20.77;37.16;5.010969393254015;11.81
1;19/02/2021;0.0;23.15;35.3;6.088292628585257;14.1
1;20/02/2021;0.0;18.47;38.43;6.018692681111363;20.45
1;21/02/2021;0.0;18.86;36.92;7.573773046377425;23.78
1;22/02/2021;0.0;18.67;40.51;7.220040997333012;22.09
1;23/02/2021;0.0;20.01;40.7;7.502298402425668;23.41
1;24/02/2021;0.0;17.83;41.51;6.943544559829134;25.19
1;25/02/2021;0.0;16.93;40.66;6.944822845955114;25.57
1;26/02/2021;0.0;22.31;36.11;8.892155837756388;23.1
1;27/02/2021;0.0;19.8;34.78;7.719491971734;23.1
1;28/02/2021;0.0;17.32;35.08;6.4563643156395605;22.88
1;01/03/2021;0.0;15.99;37.26;5.195048871519623;24.53
1;02/03/2021;0.0;15.84;39.73;5.314573289868362;24.37
1;03/03/2021;0.0;20.35;41.25;7.792078323949533;24.31
1;04/03/2021;0.0;20.68;43.11;5.640883439369488;23.36
1;05/03/2021;0.0;18.46;35.12;5.31433215117462;22.8
1;06/03/2021;0.0;21.59;39.13;6.082699995502188;25.23
1;07/03/2021;0.0;23.82;34.41;5.097200064190687;12.88557
1;08/03/2021;48.275;23.56;28.19;11.811880673609274;24.32
1;09/03/2021;0.0;21.34;34.35;4.383943738376093;12.82716
1;10/03/2021;0.101;21.96;35.56;3.952223645964185;11.803194
1;11/03/2021;0.0;19.58;39.18;4.25229095036809;23.27
1;12/03/2021;0.0;19.2;39.26;6.165678828387279;23.91
1;13/03/2021;0.0;20.18;39.06;7.451006270560293;23.63
1;14/03/2021;0.0;18.12;41.05;6.547329348552245;23.14
1;15/03/2021;0.0;19.68;41.0;6.521241202101957;24.48
1;16/03/2021;0.0;16.63;41.67;5.119486812830458;25.97
1;17/03/2021;0.0;16.51;39.11;3.962746757616267;27.29
1;18/03/2021;0.0;16.92;38.28;4.005030108118261;27.47
1;19/03/2021;0.0;16.16;35.78;4.037276517742195;27.02
1;20/03/2021;0.0;17.47;39.21;5.000682270943544;26.78
1;21/03/2021;0.0;17.79;38.27;5.34895247099479;25.39
1;22/03/2021;0.0;17.93;39.02;5.914080491870204;25.92
1;23/03/2021;0.0;17.68;39.26;5.8749778693635255;23.96
1;24/03/2021;0.0;20.08;40.43;7.542421966947756;23.75
