annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2018;213;365;19_001;solnu;;215.59;0.0;68.8;12.13;0.0;24.2;49.27;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;119_001;solnu;;215.76;0.0;68.46;12.86;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;219_001;solnu;;217.93;0.0;66.34;12.29;0.0;25.54;51.73;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;319_001;solnu;;215.76;0.0;68.46;12.86;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;419_001;solnu;;215.85;0.0;68.32;13.14;0.0;24.83;49.68;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;519_001;solnu;;215.85;0.0;68.32;13.14;0.0;24.83;49.68;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;619_001;solnu;;215.76;0.0;68.46;12.86;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
2018;213;365;719_001;solnu;;215.3;0.0;68.89;12.86;0.0;24.41;49.36;0.0;0.0;-1.0;-1.0;0.0;220.58;0.0;0.0
