idParcelle;surface [m2];zone_pedo;matIrr
118_001;572.03378506162;dior_cb_avec_arbr;null
119_001;908.2634065985799;dior_cb_sans_arbr;null
120_001;249.98998484347;dior_cc_avec_arbr;null
121_001;499.81840421767004;dior_cc_sans_arbr;null
122_001;1891.550917333;dior_cc_avec_arbr;null
123_001;305.8897143192;dior_cc_sans_arbr;null
124_001;1755.0053494453;dior_cb_sans_arbr;null
125_001;1516.90273848041;dior_cb_avec_arbr;null
126_001;4183.1837378932105;dior_cb_sans_arbr;null
127_001;3794.50684288536;dior_cb_sans_arbr;null
128_001;1886.03894818546;dior_cb_sans_arbr;null
129_001;652.67370495128;dior_cb_avec_arbr;null
130_001;1101.23145205206;dior_cb_sans_arbr;null
131_001;3719.62371107214;dior_cb_sans_arbr;null
132_001;920.23367353031;dior_cb_avec_arbr;null
133_001;3057.5367419407603;dior_cb_sans_arbr;null
134_001;2063.75559493213;dior_cb_avec_arbr;null
135_001;569.44173247808;dior_cb_sans_arbr;null
136_001;670.1871978583899;dior_cb_avec_arbr;null
137_001;4638.67673744312;dior_cb_sans_arbr;null
138_001;725.40412165375;dior_cb_avec_arbr;null
139_001;2583.1664398229796;dior_cb_sans_arbr;null
140_001;898.35677799109;dior_cb_avec_arbr;null
141_001;4812.35894830641;dior_cb_sans_arbr;null
142_001;579.55922073378;dior_cb_avec_arbr;null
143_001;5419.64238720795;dior_cb_sans_arbr;null
144_001;249.57025233086998;dekk_cb_avec_arbr;null
145_001;2157.0564231161097;dekk_cb_sans_arbr;null
146_001;2785.3377921621504;dekk_cb_sans_arbr;null
147_001;943.12177228068;dekk_cb_avec_arbr;null
148_001;2953.6410877695303;dekk_cb_sans_arbr;null
149_001;962.29099631902;dior_cb_avec_arbr;null
150_001;1771.87447423387;dior_cb_sans_arbr;null
153_001;540.76175399558;dior_cb_avec_arbr;null
154_001;3928.69267916245;dior_cb_sans_arbr;null
155_001;4907.69499337411;dior_cb_sans_arbr;null
156_001;5795.21302315116;dior_cb_sans_arbr;null
157_001;51.27074990335;dior_cb_avec_arbr;null
158_001;4873.43190297256;dior_cb_sans_arbr;null
159_001;1198.60266942308;dior_cb_avec_arbr;null
160_001;1688.02534583713;dior_cb_sans_arbr;null
161_001;1023.81428017113;dior_cb_avec_arbr;null
162_001;4534.1828600544295;dior_cb_sans_arbr;null
163_001;875.4082255932;dior_cb_avec_arbr;null
164_001;5023.05051567953;dior_cb_sans_arbr;null
165_001;2735.1604096177703;dior_cb_avec_arbr;null
166_001;2255.12909679606;dior_cb_sans_arbr;null
167_001;1108.9427175325;dior_cb_avec_arbr;null
168_001;2441.49411019502;dior_cb_sans_arbr;null
169_001;2382.20665970017;dior_cc_avec_arbr;null
170_001;520.49417549328;dior_cc_sans_arbr;null
171_001;1586.98306653382;dior_cc_sans_arbr;null
172_001;888.5404938163;dior_cb_avec_arbr;null
173_001;2693.1051747105003;dior_cb_sans_arbr;null
174_001;1109.45183349281;dior_cb_avec_arbr;null
175_001;3915.87928629221;dior_cb_sans_arbr;null
176_001;2928.84012943684;dior_cb_avec_arbr;null
